account,trade_count,total_pnl,avg_size,win_rate,avg_fee,sentiment_sensitivity,cluster,pca_1,pca_2
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2814,117830.27037351,3763.7086034115136,0.2974413646055437,0.9629208871677327,0.02110388356907451,2,-0.19838631406648102,-0.6894235304303133
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,14440,101942.8731465963,1326.3412292243768,0.32894736842105265,0.15395461464014543,0.04345308413160496,1,-0.8275925277240487,0.5276021630427994
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,404,72391.37496916999,2130.975024752475,0.5643564356435643,0.46983445997524764,0.21176350303798266,1,-1.6515152551853869,-0.42212428992279155
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,559,66690.86774139,2992.575259391771,0.40608228980322003,0.9787618239892667,0.11440347432058162,1,-0.7853325284601166,-0.7547278942106788
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,352,21166.0104587254,11984.26900568182,0.30113636363636365,1.4737892024846593,0.009034016647967474,2,0.5863838623246616,-1.1420317038319754
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,13649,2080762.02075918,4074.2589420470363,0.3290350941460913,1.156183297884094,0.09853236195780526,0,0.5706828263401944,3.184095322275513
0xb899e522b5715391ae1d4f137653e7906c5e2115,4266,-12344.471373999993,24421.565921237692,0.4191279887482419,6.448442091420534,0.008807100051614515,2,2.9820934056764816,-0.9553893014945689
0xbaaaf6571ab7d571043ff1e313a9609a10637864,17111,906678.213240781,3843.6790438898956,0.47805505230553447,0.48489400860376375,-0.027256109290664375,0,-0.20978695249043885,2.118502187802605
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2193,173461.75600556997,9099.696839945282,0.28818969448244414,2.13444203120383,-0.022049301964340313,2,0.792899828622531,-0.7989932192506992
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,37841,794736.47115668,1917.769856769113,0.42134193071007636,0.34562826953093206,0.09685528897871473,0,-0.7632088993072983,3.917279200413811
